,address,available_bike_stands,available_bikes,banking,bike_stands,bonus,contract_name,last_update,latitude,longitude,name,number,status
32,2 RUE JEAN MERMOZ - 75008 PARIS,0,33,True,33,False,Paris,2015/06/09 16:00:16,48.869708848,2.31071465537,08031 - ROND POINT DES CHAMPS ELYSEES,8031,OPEN
33,FACE 67 BOULEVARD DE PICPUS - 75012 PARIS,32,2,True,36,False,Paris,2015/06/09 16:00:16,48.8469643595,2.39986827743,12015 - NATION PICPUS,12015,OPEN
34,7 RUE HENRI BARBOUX - 75014 PARIS,17,3,True,20,False,Paris,2015/06/09 16:00:16,48.8219553065,2.32680686991,14120 - JOURDAN BARBOUX,14120,OPEN
35,34 RUE CONDORCET - 75009 PARIS,20,0,True,20,False,Paris,2015/06/09 16:00:16,48.8798312251,2.34539633899,09007 - CONDORCET,9007,OPEN
36,38 RUE VICTOR MASSE - 75009 PARIS,17,1,True,18,False,Paris,2015/06/09 16:00:16,48.881149034,2.3366810043,09019 - VICTOR MASSE,9019,OPEN
37,33 BIS RUE SAINT AMAND - 75015 PARIS,35,1,True,36,False,Paris,2015/06/09 16:00:16,48.8341171478,2.30885001547,15040 - MONCLAR,15040,OPEN
38,1 RUE LIARD - 75014 PARIS,12,2,True,14,False,Paris,2015/06/09 16:00:16,48.8212276633,2.34210421456,14013 - LIART AMIRAL MOUCHEZ,14013,OPEN
39,RUE NECKER/ RUE DU PORT AUX LIONS - 94220 CHARENTON,2,24,True,26,False,Paris,2015/06/09 16:00:16,48.8239632523,2.39999842013,42201 - NECKER (CHARENTON),42201,OPEN
40,44 BD DU TEMPLE - 75011 PARIS,32,13,True,45,False,Paris,2015/06/09 16:00:16,48.8657450771,2.36531295078,11038 - TEMPLE REPUBLIQUE,11038,OPEN
41,2 RUE MONTCALM - 75018 PARIS,49,0,True,49,True,Paris,2015/06/09 16:00:16,48.8918779571,2.33544742769,18019 - MONTCALM,18019,OPEN
42,7 PLACE ARNAUD TZANCK - 75017 PARIS,30,6,True,36,False,Paris,2015/06/09 16:00:16,48.8987737928,2.32247847786,17008 - PORCHE POUCHET,17008,OPEN
43,QUAI ANATOLE FRANCE - PONT SOLFERINO - 75007 PARIS,3,17,True,20,False,Paris,2015/06/09 16:00:16,48.86138,2.32442,00901 - PORT SOLFÉRINO (STATION MOBILE),901,OPEN
44,DEV 5 AVENUE EMILE ZOLA - 75015 PARIS,0,45,True,45,False,Paris,2015/06/09 16:00:16,48.8462949183,2.27841391259,15064 - JAVEL,15064,OPEN
45,49 RUE GABRIEL LAME - 75012 PARIS,8,28,True,36,False,Paris,2015/06/09 16:00:16,48.8351380507,2.38547848656,12031 - LAME,12031,OPEN
46,55 RUE BOUSSINGAULT - 75013 PARIS,23,24,True,47,False,Paris,2015/06/09 16:00:16,48.8260351661,2.342176808,13021 - BOUSSINGAULT - TOLBIAC,13021,OPEN
47,128 AVENUE GABRIEL PERI / AVENUE DU CAPITAINE GLAMER - 93400 SAINT OUEN,20,5,True,26,False,Paris,2015/06/09 16:00:16,48.9025922416,2.33051356484,34002 - PERI (SAINT OUEN),34002,OPEN
48,46 RUE DE MONTMARTRE - 75002 PARIS,14,1,True,15,False,Paris,2015/06/09 16:00:16,48.8650219458,2.34506844014,02005 - MONTORGUEIL RUE MONTMARTRE VERSION 2,2005,OPEN
49,32 RUE DE MADELEINE MICHELIS - 92200 NEUILLY,22,3,True,25,False,Paris,2015/06/09 16:00:16,48.8827499155,2.27740638128,22012 - MICHELIS (NEUILLY),22012,OPEN
50,47 RUE BUFFON - 75005 PARIS,20,35,True,55,False,Paris,2015/06/09 16:00:16,48.8419161798,2.35891268132,05104 - BUFFON,5104,OPEN
51,7 BIS RUE DE VINCENNES - 93100 MONTREUIL,53,0,True,56,False,Paris,2015/06/09 16:00:16,48.857702134,2.43736866129,31008 - VINCENNES (MONTREUIL),31008,OPEN
52,87 RUE DE LA CONVENTION - 75015 PARIS,12,21,True,36,False,Paris,2015/06/09 16:00:16,48.8421443316,2.28586265594,15062 - BOUCICAUT,15062,OPEN
53,2 RUE TIRON - 75004 PARIS,25,3,True,28,False,Paris,2015/06/09 16:00:16,48.8557966374,2.35790788214,04012 - ECOUFFES RIVOLI,4012,OPEN
54,55 RUE TURBIGO - 75003 PARIS,4,27,True,31,False,Paris,2015/06/09 16:00:16,48.8655841911,2.35627844763,03011 - TURBIGO,3011,OPEN
55,69 RUE SAINT BLAISE - 75020 PARIS,25,2,True,27,False,Paris,2015/06/09 16:00:16,48.85697494,2.40884245741,20017 - RUE SAINT BLAISE,20017,OPEN
56,195 RUE CHAMPIONNET - 75018 PARIS,32,1,True,33,False,Paris,2015/06/09 16:00:16,48.8940572513,2.33219933598,18028 - VAUVENARGUES,18028,OPEN
57,GARE DE BERCY - ANGLE RUE CORBINEAU - 75012 PARIS,21,13,True,35,False,Paris,2015/06/09 16:00:16,48.83976,2.38241,12024 - GARE DE BERCY,12024,OPEN
58,FACE 140 BOULEVARD RICHARD LENOIR - 75011 PARIS,55,1,True,56,False,Paris,2015/06/09 16:00:16,48.8665160798,2.36932253041,11113 - REPUBLIQUE FERRY,11113,OPEN
59,39 RUE NATIONALE - 92100 BOULOGNE-BILLANCOURT,2,21,True,23,False,Paris,2015/06/09 16:00:16,48.8276004241,2.24183519132,21015 - NATIONALE (BOULOGNE-BILLANCOURT),21015,OPEN
60,PLACE JEAN FERRAT - 94200 IVRY,25,0,True,25,False,Paris,2015/06/09 16:00:16,48.8185,2.37427,42015 - JEAN FERRAT (IVRY),42015,OPEN
61,20 RUE SOMMERARD - 75005 PARIS,6,26,True,35,False,Paris,2015/06/09 16:00:16,48.8503104329,2.3450158353,05002 - SAINT JACQUES,5002,OPEN
62,8 BOULEVARD DE LA VILETTE - 75010 PARIS,47,0,True,48,False,Paris,2015/06/09 16:00:16,48.8727781565,2.37634839465,10040 - BELLEVILLE,10040,OPEN
63,1 RUE BRUANT - 75013 PARIS,4,17,True,25,False,Paris,2015/06/09 16:00:16,48.8348484529,2.36682649963,13018 - AURIOL CHEVALERET,13018,OPEN
64,21 RUE DU DR LERAY ET LANDOUZY - 75013 PARIS,33,0,True,34,False,Paris,2015/06/09 16:00:16,48.8233161722,2.35433694417,13026 - PLACE HENOCQUE VERSION 2,13026,OPEN
65,17 RUE DES FETES - 75019 PARIS,20,0,True,20,True,Paris,2015/06/09 16:00:16,48.8764683397,2.39228462979,19028 - PLACE DES FETES,19028,OPEN
66,12 RUE CITE RIVERIN / ANGLE RUE DU CHATEAU D'EAU - 75010 PARIS,16,2,True,18,False,Paris,2015/06/09 16:00:16,48.8707649819,2.35872446227,10008 - CITE RIVERIN,10008,OPEN
67,10 RUE ANDRE MAZET - 75006 PARIS,39,15,True,54,False,Paris,2015/06/09 16:00:16,48.8537510735,2.3391137229,06015 - MAZET SAINT ANDRE DES ARTS,6015,OPEN
68,30 AVENUE DES MINIMES - 94300 VINCENNES,1,27,True,28,False,Paris,2015/06/09 16:00:16,48.8414868563,2.43079345113,43006 - MINIMES (VINCENNES),43006,OPEN
69,293 RUE LECOURBE - 75015 PARIS,11,8,True,19,False,Paris,2015/06/09 16:00:16,48.837970342,2.28758230704,15054 - CHANDON,15054,OPEN
70,PLACE PASDELOUP - 75011 PARIS,13,7,True,21,False,Paris,2015/06/09 16:00:16,48.8626503001,2.36705349045,11043 - CIRQUE D HIVER,11043,OPEN
71,4 RUE DOLOMIEU - 75005 PARIS,17,4,True,21,False,Paris,2015/06/09 16:00:16,48.842735043,2.35247243722,05024 - PLACE MONGE,5024,OPEN
72,102 RUE DE LA CROIX NIVERT - 75015 PARIS,22,25,True,47,False,Paris,2015/06/09 16:00:16,48.8430763869,2.2951414131,15036 - LAMBERT,15036,OPEN
73,FACE 59 RUE BENOIT MALON - 94250 GENTILLY,16,14,True,30,False,Paris,2015/06/09 16:00:16,48.8144401796,2.34107065417,42504 - MALON (GENTILLY),42504,OPEN
74,29 RUE DU CHERCHE MIDI - 75006 PARIS,1,22,True,23,False,Paris,2015/06/09 16:00:16,48.8502410872,2.32755154921,06107 - CHERCHE MIDI,6107,OPEN
75,29 RUE PIERRE DEMOURS - 75017 PARIS,25,11,True,36,False,Paris,2015/06/09 16:00:16,48.8814111012,2.29482820074,17029 - PLACE AIMÉE MAILLART,17029,OPEN
76,23 QUAI PANHARD ET LEVASSOR - 75013 PARIS,9,49,True,59,False,Paris,2015/06/09 16:00:16,48.8283698938,2.3844403546,13050 - QUAI PANHARD ET LEVASSOR,13050,OPEN
77,FACE 27 RUE CLAUZEL - 75009 PARIS,21,0,True,21,False,Paris,2015/06/09 16:00:16,48.8795052656,2.33719063927,09020 - TOUDOUZE CLAUZEL,9020,OPEN
78,112 RUE VERCINGETORIX - 75014 PARIS,53,14,True,67,True,Paris,2015/06/09 16:00:16,48.8342592499,2.31339164711,14029 - GERGOVIE VERCINGETORIX,14029,OPEN
79,39 RUE DE DUNKERQUE - 75010 PARIS,23,0,True,23,False,Paris,2015/06/09 16:00:16,48.8807266858,2.3514643332,10029 - PLACE DE ROUBAIX,10029,OPEN
80,19 RUE GUERANDO - 75009 PARIS,20,1,True,21,True,Paris,2015/06/09 16:00:16,48.8829110895,2.34631937163,09004 - ROCHECHOUART GERANDO,9004,OPEN
81,46 RUE LUCIE SAMPAIX - 75010 PARIS,36,7,True,46,False,Paris,2015/06/09 16:00:16,48.8741129165,2.3624985287,10015 - RECOLLETS,10015,OPEN
82,FACE 1 RUE DE VAUGIRARD - 75006 PARIS,8,16,True,24,False,Paris,2015/06/09 16:00:16,48.8489229582,2.34104050871,06029 - VAUGIRARD PRINCE,6029,OPEN
83,GARE DE LYON - 75012 PARIS,5,55,True,60,False,Paris,2015/06/09 16:00:16,48.8455150898,2.37264984463,12151 - GARE DE LYON,12151,OPEN
